Clt;Joueur;Nation;Pos;Équipe;Âge;Salaires hebdomadaires;Salaires annuels
1;Kylian Mbappé;fr FRA;FW;Paris S-G;23;1384615;72000000
2;Lionel Messi;ar ARG;FWMF;Paris S-G;35;1223846;63640000
3;Neymar;br BRA;MFFW;Paris S-G;30;1083846;56360000
4;Keylor Navas;cr CRC;GK;Paris S-G;35;314615;16360000
5;Achraf Hakimi;ma MAR;DFMF;Paris S-G;23;279808;14550000
6;Marco Verratti;it ITA;MF;Paris S-G;29;276923;14400000
7;Marquinhos;br BRA;CB;Paris S-G;29;276923;14400000
8;Gianluigi Donnarumma;it ITA;GK;Paris S-G;23;244808;12730000
9;Mauro Icardi;ar ARG;CF;Paris S-G;29;209808;10910000
10;Sergio Ramos;es ESP;DF;Paris S-G;36;209615;10900000
11;Fabián Ruiz Peña;es ESP;MF;Paris S-G;26;174808;9090000
12;Juan Bernat;es ESP;DFMF;Paris S-G;29;168462;8760000
13;Nordi Mukiele;fr FRA;DF;Paris S-G;24;161538;8400000
14;Mario Lemina;ga GAB;MFDF;Nice;28;157308;8180000
15;Wissam Ben Yedder;fr FRA;FW;Monaco;31;150000;7800000
16;Presnel Kimpembe;fr FRA;DF;Paris S-G;26;147692;7680000
17;Malang Sarr;fr FRA;DF;Monaco;23;138846;7220000
18;André Gomes;pt POR;MF;Lille;29;130000;6760000
19;Jordan Veretout;fr FRA;MF;Marseille;29;126923;6600000
20;Steve Mandanda;fr FRA;GK;Rennes;37;125962;6550000
21;Renato Sanches;pt POR;MF;Paris S-G;24;124615;6480000
22;Alexis Sánchez;cl CHI;FWMF;Marseille;33;115385;6000000
23;Dimitri Payet;fr FRA;MFFW;Marseille;35;115385;6000000
24;Carlos Soler;es ESP;MF;Paris S-G;25;115385;6000000
25;Nicolas Pépé;ci CIV;FWMF;Nice;27;113846;5920000
26;Aaron Ramsey;wls WAL;MF;Nice;31;104808;5450000
27;Vitinha;pt POR;MF;Paris S-G;22;104808;5450000
28;Eric Bailly;ci CIV;DF;Marseille;28;103846;5400000
