id;birthdate;buts_e;buts_m;club;matchs_j;meilleur pied;nom;pass_d;poids;poste;prenom;salaire;taille
0;1991-06-14;0.0;0.0;17;0.0;Right;N'DIAYE;0.0;75.0;Attaquant;Alassane;0.0125;180.0
1;1989-04-07;60.0;0.0;17;32.0;Right;LEROY;0.0;75.0;Gardien;Benjamin;0.024167;184.0
2;1991-12-04;0.0;0.0;17;0.0;Right;ALHADHUR;0.0;65.0;Défenseur;Chaker;0.0075;172.0
3;2000-06-18;0.0;1.0;17;26.0;Right;VIDAL;0.0;76.0;Défenseur;Clément;0.001667;181.0
4;1996-05-24;0.0;1.0;17;33.0;Right;BAYALA;1.0;68.0;Attaquant;Cyrille;0.005833;181.0
5;1986-09-11;0.0;1.0;17;24.0;Right;AVINEL;0.0;85.0;Défenseur;Cédric;0.029167;187.0
6;1996-01-09;0.0;0.0;17;11.0;Right;MAYEMBO;0.0;86.0;Défenseur;Fernand;0.025;184.0
7;1998-04-07;0.0;0.0;17;7.0;Right;CHABROLLE;0.0;65.0;Milieu;Florian;0.001667;171.0
8;1994-03-21;14.0;0.0;17;6.0;Right;SOLLACARO;0.0;76.0;Gardien;Francois-Joseph;0.008333;182.0
9;2002-09-01;0.0;0.0;17;1.0;Right;QUILICHINI;0.0;79.0;Gardien;Ghjuvanni;0.0075;185.0
10;2002-09-01;0.0;0.0;17;28.0;Right;DIALLO;0.0;70.0;Défenseur;Ismaël;0.005833;182.0
11;2002-08-07;0.0;0.0;17;8.0;Left;BOTUE;0.0;74.0;Attaquant;Jean;0.003;184.0
12;1986-03-20;0.0;0.0;17;27.0;Right;COUTADEUR;0.0;67.0;Milieu;Mathieu;0.019167;169.0
13;1986-03-20;0.0;0.0;17;4.0;Right;PUCH;0.0;67.0;Milieu;Mehdi;0.016;169.0
14;1991-01-18;0.0;1.0;17;20.0;Right;BARRETO;1.0;67.0;Milieu;Michaël;0.008333;175.0
15;1989-07-12;0.0;0.0;17;26.0;Right;ALPHONSE;0.0;79.0;Défenseur;Mickaël;0.02;182.0
16;1988-03-26;0.0;0.0;17;30.0;Right;YOUSSOUF;0.0;65.0;Défenseur;Mohamed;0.008333;169.0
17;1992-03-14;0.0;6.0;17;23.0;Right;BELAÏLI;5.0;75.0;Attaquant;Youcef;0.063333;178.0
18;1999-02-10;0.0;6.0;17;32.0;Right;EL IDRISSY;0.0;72.0;Attaquant;Mounaim;0.001667;181.0
19;1999-10-04;0.0;0.0;17;6.0;Right;DJITTE;0.0;75.0;Attaquant;Moussa;0.050833;180.0
20;1998-02-25;0.0;0.0;17;30.0;Right;GONZALEZ;0.0;87.0;Défenseur;Oumar;0.011667;187.0
21;1985-06-07;0.0;1.0;17;33.0;Right;NOURI;2.0;73.0;Attaquant;Riad;0.0125;178.0
22;1987-03-29;0.0;2.0;17;19.0;Right;HAMOUMA;2.0;76.0;Attaquant;Romain;0.07;178.0
23;1999-01-19;0.0;0.0;17;3.0;Right;LEVINE;0.0;71.0;Attaquant;Ruan;0.004167;177.0
24;1987-04-29;0.0;1.0;17;26.0;Left;MANGANI;1.0;79.0;Milieu;Thomas;0.05;183.0
25;1997-07-04;0.0;0.0;17;31.0;Left;MARCHETTI;2.0;71.0;Milieu;Vincent;0.03;181.0
26;2002-01-22;0.0;0.0;17;8.0;Right;CIMIGNANI;0.0;71.0;Milieu;Yanis;0.001667;176.0
27;1986-11-29;0.0;0.0;17;11.0;Right;TOUZGHAR;0.0;75.0;Attaquant;Yoann;0.0125;179.0
28;1995-07-05;0.0;0.0;17;13.0;Left;KONE;0.0;71.0;Défenseur;Youssouf;0.113333;174.0
29;1995-05-30;0.0;1.0;2;28.0;Right;ZEDADKA;0.0;72.0;Défenseur;Akim;0.065;173.0
30;1996-09-07;0.0;0.0;2;12.0;Right;DEMBELE;0.0;67.0;Attaquant;Siriki;0.038333;173.0
31;1992-06-06;0.0;2.0;2;38.0;Right;TOURE;0.0;73.0;Milieu;Birama;0.038333;183.0
32;1993-07-02;0.0;0.0;2;2.0;Right;BAIN;0.0;74.0;Défenseur;Denys;0.03;181.0
33;1992-11-03;2.0;0.0;2;2.0;Right;LEON;0.0;94.0;Gardien;Donovan;0.043333;187.0
34;1997-11-07;0.0;0.0;2;0.0;Right;OWUSU;0.0;72.0;Milieu;Elisha;0.033333;182.0
35;1996-06-07;0.0;3.0;2;37.0;Right;PERRIN;1.0;63.0;Attaquant;Gaetan;0.025833;169.0
36;1996-08-07;0.0;2.0;2;35.0;Left;HEIN;0.0;65.0;Milieu;Gauthier;0.025;170.0
37;1998-07-18;0.0;0.0;2;26.0;Left;MENSAH;0.0;64.0;Défenseur;Gideon;0.035;178.0
38;1996-06-07;0.0;1.0;2;27.0;Right;SAKHI;2.0;69.0;Milieu;Hamza;0.0225;176.0
39;2001-07-07;0.0;0.0;2;14.0;Right;MASSENGO;0.0;70.0;Milieu;Han-Noah;0.026667;175.0
40;1993-03-31;0.0;1.0;2;22.0;Right;JEANVIER;0.0;84.0;Défenseur;Julian;0.0225;185.0
41;1996-03-07;0.0;0.0;2;2.0;Left;BOTO;0.0;71.0;Défenseur;Kenji-Van;0.0125;183.0
42;1996-03-07;0.0;0.0;2;1.0;Left;DANOIS;0.0;71.0;Milieu;Kevin;0.003333;183.0
43;2000-03-28;0.0;0.0;2;0.0;Right;CHAPELLE;0.0;70.0;Défenseur;Kryss;0.015;174.0
44;2002-08-16;0.0;0.0;2;0.0;Left;SILVESTRE;0.0;70.0;Attaquant;Kylian;0.003333;183.0
45;1999-12-08;0.0;1.0;2;33.0;Right;SINAYOKO;2.0;81.0;Attaquant;Lassine;0.005;186.0
46;1991-03-01;0.0;2.0;2;23.0;Right;AUTRET;2.0;71.0;Milieu;Mathias;0.026667;179.0
47;2003-03-28;0.0;3.0;2;30.0;Right;ABLINE;2.0;81.0;Attaquant;Matthis;0.0025;182.0
48;1994-12-19;0.0;6.0;2;30.0;Right;NIANG;0.0;75.0;Attaquant;Mbaye;0.07;184.0
49;1994-07-23;0.0;5.0;2;33.0;Right;DA COSTA;4.0;75.0;Attaquant;Nuno;0.025;180.0
50;2003-03-06;0.0;0.0;37;9.0;Right;CAMARA;0.0;90.0;Milieu;Ousmane;0.005;197.0
51;1998-12-19;0.0;0.0;2;0.0;Left;CAMARA;0.0;80.0;Milieu;Ousoumane;0.005;184.0
52;1997-01-16;0.0;2.0;2;34.0;Right;RAVELOSON;1.0;73.0;Milieu;Rayan;0.06;182.0
53;2003-03-28;0.0;1.0;2;24.0;Left;TOURE;0.0;98.0;Défenseur;Isaak;0.054;206.0
54;2001-02-02;0.0;0.0;2;0.0;Right;DE PERCIN;0.0;81.0;Gardien;Theo;0.0025;185.0
55;1994-03-04;0.0;0.0;2;2.0;Left;PELLENARD;0.0;78.0;Défenseur;Théo;0.036667;182.0
56;2001-12-21;0.0;0.0;2;0.0;Left;COZZELLA;0.0;75.0;Gardien;Vincenzo;0.003333;190.0
57;1990-08-29;0.0;0.0;2;26.0;Right;M'CHANGAMA;0.0;69.0;Milieu;Youssouf;0.04;175.0
58;2001-06-17;0.0;5.0;37;34.0;Right;SIMA;1.0;74.0;Attaquant;Abdallah;0.103333;188.0
59;1990-04-25;0.0;0.0;37;21.0;Right;BAMBA;0.0;72.0;Défenseur;Abdoulaye;0.0275;182.0
60;1994-01-19;0.0;4.0;37;34.0;Right;HUNOU;1.0;70.0;Attaquant;Adrien;0.08;179.0
61;1998-04-23;0.0;0.0;37;0.0;Left;KALLA;0.0;68.0;Milieu;Ali;0.005;172.0
62;2000-07-18;0.0;3.0;37;25.0;Right;SALAMA;1.0;78.0;Milieu;Amine;0.02;192.0
63;2002-12-30;0.0;0.0;37;0.0;Left;YOUSFI;0.0;71.0;Milieu;Ayoub;0.034;179.0
64;2000-01-12;0.0;0.0;37;35.0;Right;MENDY;0.0;82.0;Milieu;Batista;0.045833;191.0
65;1994-01-19;0.0;0.0;37;36.0;Right;HOUNTONDJI;0.0;81.0;Défenseur;Cédric;0.0525;194.0
66;1991-02-01;0.0;0.0;37;7.0;Left;GHOULAM;0.0;80.0;Défenseur;Faouzi;0.090833;188.0
67;1997-05-05;0.0;0.0;37;17.0;Right;EL MELALI;0.0;65.0;Milieu;Farid;0.024167;168.0
68;1999-08-22;0.0;2.0;37;15.0;Right;SABANOVIC;0.0;75.0;Défenseur;Halid;0.0075;182.0
69;1999-11-17;0.0;2.0;37;30.0;Right;ABDELLI;2.0;81.0;Milieu;Himad;0.01;185.0
70;1999-03-11;0.0;2.0;37;16.0;Right;NIANE;0.0;73.0;Attaquant;Ibrahima;0.05;187.0
71;1995-01-22;0.0;0.0;37;6.0;Left;CHETTI;0.0;70.0;Défenseur;Ilyes;0.02;176.0
72;1999-03-11;0.0;0.0;37;0.0;Right;DRAME;0.0;73.0;Défenseur;Ismael;0.039;187.0
73;1999-11-01;0.0;0.0;37;2.0;Left;MBOCK;0.0;67.0;Attaquant;Jason;0.003333;174.0
74;2005-05-07;0.0;0.0;37;10.0;Right;BAHOYA;0.0;76.0;Attaquant;Jean-Mattéo;0.0025;180.0
75;1992-12-20;0.0;1.0;37;11.0;Right;DIONY;0.0;82.0;Attaquant;Loïs;0.09;183.0
76;1996-12-26;0.0;0.0;37;1.0;Right;JAKOLIS;0.0;74.0;Attaquant;Marin;0.020833;182.0
77;2002-03-16;0.0;0.0;37;0.0;Right;ZINGA;0.0;80.0;Gardien;Melvin;0.004167;187.0
78;1993-05-08;0.0;2.0;37;24.0;Right;BLAZIC;0.0;78.0;Défenseur;Miha;0.06;185.0
79;1994-11-24;0.0;4.0;37;30.0;Left;BENTALEB;4.0;78.0;Milieu;Nabil;0.065;187.0
80;1997-04-18;62.0;0.0;37;27.0;Left;BERNARDONI;0.0;78.0;Gardien;Paul;0.1;190.0
81;1987-04-15;0.0;0.0;37;26.0;Left;CAPELLE;3.0;73.0;Milieu;Pierrick;0.045;181.0
82;1995-06-01;0.0;1.0;37;27.0;Left;THIOUB;2.0;75.0;Attaquant;Sada;0.028333;179.0
83;1996-09-24;0.0;0.0;37;24.0;Left;DOUMBIA;0.0;64.0;Défenseur;Souleyman;0.056667;175.0
84;2002-07-15;0.0;0.0;37;0.0;Right;BORNE;0.0;74.0;Gardien;Théo;0.004167;191.0
85;2001-05-22;0.0;0.0;37;0.0;Right;ENEME-ELLA;0.0;75.0;Attaquant;Ulrick;0.014;184.0
86;2002-03-07;0.0;0.0;37;11.0;Right;TAÏBI;0.0;70.0;Milieu;Waniss;0.0125;184.0
87;2000-08-21;19.0;0.0;37;11.0;Right;FOFANA;0.0;89.0;Gardien;Yahia;0.005;194.0
88;1999-02-22;0.0;0.0;37;30.0;Right;VALERY;0.0;85.0;Défenseur;Yan;0.09;180.0
89;2002-02-14;0.0;0.0;37;0.0;Right;BELKHDIM;0.0;70.0;Milieu;Yassin;0.0025;175.0
90;2000-01-14;0.0;0.0;37;4.0;Right;OULD KHALED;0.0;79.0;Milieu;Zinedine;0.005;195.0
91;2000-01-14;0.0;0.0;9;0.0;Right;JIDDOU;0.0;79.0;Milieu;Salam;0.003;195.0
92;1996-05-30;0.0;8.0;9;34.0;Right;GOLOVIN;7.0;69.0;Milieu;Aleksandr;0.3;180.0
93;1996-09-30;58.0;0.0;9;38.0;Right;NÜBEL;0.0;86.0;Gardien;Alexander;0.416667;193.0
94;2000-12-06;0.0;0.0;9;0.0;Right;MUSABA;0.0;72.0;Attaquant;Anthony;0.308;182.0
95;2001-10-04;0.0;0.0;9;0.0;Left;ZAGRE;0.0;60.0;Attaquant;Arthur;0.055;168.0
96;1998-03-11;0.0;3.0;9;38.0;Right;DISASI;3.0;86.0;Défenseur;Axel;0.06;190.0
97;1997-02-14;0.0;12.0;9;32.0;Right;EMBOLO;3.0;88.0;Attaquant;Breel;0.335;187.0
98;1997-07-31;0.0;1.0;9;35.0;Left;CAIO HENRIQUE;9.0;70.0;Défenseur;CAIO HENRIQU;0.225;178.0
99;2002-05-15;0.0;0.0;9;14.0;Right;MATSIMA;1.0;80.0;Défenseur;Chrislain;0.031667;193.0
100;2005-02-16;0.0;4.0;9;19.0;Right;BEN SEGHIR;1.0;71.0;Milieu;Eliesse;0.04;174.0
101;2002-02-15;0.0;1.0;9;23.0;Right;MATAZO;0.0;67.0;Milieu;Eliot;0.003333;170.0
102;1995-05-11;0.0;0.0;9;11.0;Right;MARTINS;0.0;74.0;Attaquant;Gelson;0.3;170.0
103;1994-05-06;0.0;3.0;9;26.0;Right;MARIPAN;0.0;83.0;Défenseur;Guillermo;0.15;190.0
104;1999-08-17;0.0;0.0;9;32.0;Left;JAKOBS;1.0;75.0;Milieu;Ismail;0.054167;184.0
105;1998-06-22;0.0;0.0;9;6.0;Right;LUCAS;0.0;78.0;Milieu;Jean;0.066667;179.0
106;2000-02-12;0.0;0.0;9;0.0;Right;MARCELIN;0.0;82.0;Défenseur;Harisson;0.017;197.0
107;1992-07-30;0.0;3.0;9;17.0;Left;VOLLAND;2.0;85.0;Attaquant;Kevin;0.3;179.0
108;1999-02-25;0.0;4.0;9;31.0;Right;DIATTA;1.0;69.0;Attaquant;Krépin;0.25;175.0
